2025-09-19 05:52:25,063 - asyncio - DEBUG - Using selector: SelectSelector
2025-09-19 05:52:25,627 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:25,989 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:26,355 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:26,722 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\predictions.db'), (<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:27,080 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:27,438 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:27,803 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:28,163 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:28,573 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:28,989 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:29,406 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:29,813 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:30,225 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:30,592 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:31,009 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:31,412 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:31,824 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:32,241 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:32,645 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:33,060 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:33,477 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:33,859 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:34,266 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:34,674 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
